0	0.001	0	0
1	0	0.004	0.001
2	0.001	0	0
3	0	0.001	0
4	0	0.001	0.001
5	0	0	0
6	0.001	0.001	0
7	0	0.001	0
8	0.001	0.001	0
9	0.001	0.001	0
10	0.001	0.001	0.001
11	0.001	0.001	0
12	0.001	0.001	0.001
13	0	0	0
14	0	0.001	0.001
15	0.001	0.001	0
16	0.001	0.001	0.001
17	0.001	0.001	0
18	0.001	0	0
19	0.001	0.001	0
20	0.001	0.001	0
21	0.001	0.001	0.001
22	0.001	0.001	0.001
23	0.001	0.001	0.001
24	0.001	0.001	0.001
25	0.001	0.001	0
26	0.001	0.001	0.001
27	0.002	0.001	0.001
28	0.001	0.001	0.001
29	0.002	0.001	0.001
30	0.001	0.001	0.001
31	0.002	0.001	0.001
32	0.001	0.001	0
33	0.001	0.002	0.001
34	0.001	0.001	0
35	0.002	0.001	0.001
36	0.001	0.001	0.001
37	0.002	0.001	0.001
38	0.002	0.001	0.001
39	0.002	0.001	0.001
40	0.001	0.001	0.001
41	0.002	0.001	0.001
42	0.002	0.001	0
43	0.002	0.001	0.001
44	0.002	0.001	0
45	0.002	0.001	0.001
46	0.002	0.002	0.001
47	0.002	0.001	0.001
48	0.002	0.002	0.001
49	0.001	0.001	0.001
50	0.001	0.001	0.001
51	0.002	0.001	0.001
52	0.002	0.002	0.001
53	0.002	0.001	0.001
54	0.002	0.001	0.001
55	0.003	0.001	0.001
56	0.002	0.001	0.001
57	0.002	0.002	0.001
58	0.002	0.002	0.001
59	0.002	0.002	0.001
60	0.002	0.001	0.001
61	0.002	0.001	0.001
62	0.003	0.002	0.001
63	0.002	0.002	0.001
64	0.003	0.002	0.003
65	0.002	0.002	0.002
66	0.002	0.001	0.001
67	0.003	0.002	0.001
68	0.002	0.002	0.002
69	0.002	0.001	0.001
70	0.002	0.002	0.002
71	0.002	0.002	0.002
72	0.003	0.002	0.001
73	0.003	0.002	0.001
74	0.003	0.002	0.001
75	0.003	0.002	0.001
76	0.002	0.002	0.001
77	0.003	0.002	0.001
78	0.003	0.002	0.002
79	0.003	0.002	0.002
80	0.003	0.002	0.002
81	0.003	0.002	0.002
82	0.003	0.002	0.002
83	0.003	0.001	0.001
84	0.003	0.002	0.002
85	0.002	0.002	0.001
86	0.003	0.002	0.001
87	0.003	0.002	0.002
88	0.003	0.002	0.002
89	0.003	0.002	0.001
90	0.003	0.002	0.002
91	0.003	0.002	0.002
92	0.003	0.002	0.002
93	0.003	0.002	0.002
94	0.004	0.002	0.002
95	0.003	0.002	0.001
96	0.003	0.002	0.002
97	0.003	0.003	0.002
98	0.003	0.003	0.002
99	0.003	0.003	0.001
